id,name,category,price
135,Major,Luxury,508.69
136,Situation,Fashion,1275.9
137,Near,Fashion,1444.06
138,Once,,710.39
139,Sit,Luxury,120.65
140,Medical,Electronics,407.3
141,Professor,,1344.45
142,May,Luxury,256.32
143,Activity,Luxury,251.87
144,Response,Sports,798.71
145,Conference,Sports,1876.47
146,Brother,Home,1039.74
147,Buy,Home,655.59
148,Wish,Home,1493.72
149,Able,,1009.05
150,Choice,,145.09
151,Stop,Fashion,1830.29
152,Reach,,1718.92
153,Item,Electronics,1229.24
154,Do,Electronics,1093.88
155,Against,Fashion,-1093.3
156,Entire,Sports,1751.07
157,Eat,,461.63
158,Future,Sports,1201.46
159,First,,668.11
160,Game,Sports,1322.17
161,Above,Luxury,707.4
162,Newspaper,Luxury,676.69
163,Give,,887.3
164,Major,,679.54
165,Travel,Electronics,551.59
166,Very,Fashion,262.83
167,Glass,Home,36.41
168,Stay,Luxury,1123.79
169,When,Electronics,915.06
170,Trial,Home,1570.63
171,Nation,,389.79
172,None,Home,589.38
173,Relationship,Home,417.82
174,Lawyer,,1883.1
175,Not,Luxury,445.71
176,Gas,Home,1162.44
177,Week,Fashion,1621.06
178,Agency,Home,522.94
179,Check,Electronics,895.94
180,Run,Sports,1351.01
181,Word,Home,812.22
182,Serious,Luxury,210.12
183,White,Electronics,266.42
184,Half,Luxury,1282.27
185,Recently,Electronics,1947.28
186,Approach,,1874.57
187,Whole,Luxury,61.73
188,Money,,916.08
189,System,Home,974.26
190,Media,Electronics,888.84
191,Age,Luxury,852.61
192,Share,Fashion,612.73
193,Change,,1449.3
194,Expect,Electronics,1400.35
195,Pick,Luxury,1414.59
196,Air,,1534.35
197,Increase,Luxury,-64.82
198,Little,Fashion,1251.46
199,Study,,737.39
200,Near,Home,1232.82
201,Unit,Electronics,63.74
202,Consider,,-1875.29
203,When,Sports,1289.25
204,Dark,Luxury,315.85
205,Available,Sports,1416.36
206,Late,Luxury,1780.14
207,Direction,Fashion,40.47
208,Culture,Home,430.2
209,Debate,,1044.43
210,How,Sports,201.15
211,Toward,Luxury,1794.74
212,System,Sports,1935.96
213,Sister,Sports,-1697.34
214,Edge,,705.14
215,Report,,1659.65
216,Opportunity,Sports,1556.1
217,Wind,Fashion,1821.91
218,Citizen,Luxury,1832.07
219,Themselves,Sports,1803.37
220,Arrive,Sports,505.97
221,Ball,,1723.97
222,Member,,1554.61
223,Report,Electronics,580.89
224,Anyone,Fashion,1539.34
225,Fire,Sports,1195.01
226,Suffer,Sports,167.95
227,Defense,Sports,903.51
228,Activity,Luxury,1632.45
229,Including,Home,1177.79
230,Rule,Home,429.37
231,Kitchen,Fashion,1640.75
232,Force,Electronics,494.99
233,Social,,593.22
234,Reduce,Fashion,1554.48
235,Lose,Luxury,463.84
236,Foot,Sports,538.17
237,Indeed,Sports,538.78
238,Later,Home,151.4
239,Lose,Electronics,1588.41
240,Six,Sports,941.11
241,Last,Fashion,1078.9
242,Main,Electronics,1242.74
243,Open,Luxury,623.65
244,Side,Home,1649.12
245,House,,119.56
246,Crime,Luxury,1427.9
247,More,,452.18
248,Product,,1963.11
249,Mean,Sports,424.46
250,Parent,Electronics,1368.18
251,Food,Home,1684.54
252,Scientist,Home,999.05
253,Growth,Sports,1300.0
254,Door,Sports,1666.44
255,School,,783.24
256,Speech,Sports,-923.98
257,Order,Sports,1815.76
258,Test,Fashion,-447.03
259,First,Sports,1094.57
260,Up,Luxury,1818.04
261,Available,Sports,605.98
262,Main,Sports,706.5
263,Door,Sports,120.91
264,Concern,Sports,895.35
265,Customer,Fashion,1447.6
266,That,Electronics,46.5
267,Each,Fashion,1741.41
268,International,Electronics,1752.22
269,Yes,Electronics,399.4
270,Rate,Sports,304.93
271,Adult,Fashion,1809.06
272,Blue,Electronics,561.4
273,His,Electronics,1933.3
274,He,Electronics,655.66
275,Meeting,Home,-424.1
276,Raise,Sports,427.81
277,Deep,Home,353.5
278,High,Home,36.76
279,Cost,Electronics,17.03
280,Himself,,1058.54
281,Car,Sports,1489.2
282,Beyond,,1995.3
283,Learn,Home,1675.96
284,What,Fashion,554.1
285,From,Home,621.86
286,Professional,Home,-1381.18
287,Job,Electronics,1853.5
288,Happen,,978.53
289,History,Fashion,991.88
290,Her,,1640.59
291,Power,,1625.85
292,Order,Home,917.27
293,Would,Electronics,343.29
294,Threat,Electronics,36.76
295,Mention,Electronics,1120.88
296,North,Fashion,1126.08
297,Ready,Sports,395.02
298,Also,,1319.37
299,This,,205.6
300,Together,Home,1554.65
